Feature,Importance_Mean,Importance_Std
last_fight_kd_against_diff,0.00015510672567258982,0.00033935631485614124
height_diff,0.00015184132092155672,0.0004135019826832258
last3_avg_kd_against_diff,0.0001444941602318117,0.0003531090236499169
rw_avg_sub_att_for_diff,0.0001400858638179662,0.0006132829482460665
rw_avg_fight_seconds_diff,0.0001376368102546858,0.00033541747406508614
b_last5_avg_title_fight_flag,0.0001301263793273962,0.00021942912514159667
a_last_fight_sig_landed_against,0.00011167684248425402,0.0008347993674662075
b_last3_avg_decision_win_flag,0.00010955432939608508,0.00015445606096489578
a_last_fight_decision_win_flag,9.437019730393162e-05,0.00010045246976005574
last5_avg_win_flag_diff,8.375763186312391e-05,6.838782004284383e-05
b_last3_avg_loss_flag,8.245146996281872e-05,0.00037393411487365895
last5_avg_ctrl_seconds_against_diff,6.710406763309844e-05,0.0018304986743684583
a_avg_kd_for,6.106306884371786e-05,0.00044723363033248245
last_fight_loss_flag_diff,6.024671765600213e-05,0.0002520262148934602
rw_avg_title_fight_flag_diff,5.306282720380177e-05,0.0006065653032501403
last_fight_sig_landed_against_diff,5.1756665303378155e-05,0.0011592595724310316
scheduled_rounds,4.620547722665365e-05,0.00010715131013802331
a_reach_height_gap,3.616435761736684e-05,0.0013360827270441592
b_last5_avg_kd_for,3.134788560964126e-05,0.0005510397366131453
a_prior_losses,2.8409021333741792e-05,0.00023364672668381567
a_last_fight_td_landed_against,2.824575109616756e-05,0.0001428531541571865
a_last_fight_kd_against,9.306403540361903e-06,3.4451954550237416e-05
last3_avg_scheduled_rounds_diff,6.694079739559082e-06,2.5046952905175018e-05
grappling_defense_diff,4.898107126856861e-07,0.0007896584238907902
a_last_fight_no_contest_flag,0.0,0.0
a_last_fight_draw_flag,0.0,0.0
division_group_code,0.0,0.0
title_fight,0.0,0.0
fight_year,0.0,0.0
a_last_fight_scheduled_rounds,0.0,0.0
a_rw_avg_draw_flag,0.0,0.0
a_last_fight_finish_win_flag,0.0,0.0
a_last3_avg_title_fight_flag,0.0,0.0
a_last_fight_decision_loss_flag,0.0,0.0
prior_draws_diff,0.0,0.0
a_last_fight_title_fight_flag,0.0,0.0
rw_avg_draw_flag_diff,0.0,0.0
b_last_fight_finish_loss_flag,0.0,0.0
b_last_fight_decision_loss_flag,0.0,0.0
b_last_fight_kd_for,0.0,0.0
b_last_fight_kd_against,0.0,0.0
last5_avg_draw_flag_diff,0.0,0.0
last_fight_draw_flag_diff,0.0,0.0
last_fight_decision_win_flag_diff,0.0,0.0
last_fight_decision_loss_flag_diff,0.0,0.0
a_last5_avg_no_contest_flag,0.0,0.0
b_prior_draws,0.0,0.0
b_prior_no_contests,0.0,0.0
b_rw_avg_draw_flag,0.0,0.0
last_fight_kd_for_diff,0.0,0.0
last_fight_no_contest_flag_diff,0.0,0.0
last_fight_finish_loss_flag_diff,0.0,0.0
b_prior_title_fights,0.0,0.0
a_last5_avg_draw_flag,0.0,0.0
a_last3_avg_no_contest_flag,0.0,0.0
a_last3_avg_draw_flag,0.0,0.0
