fight_id,fight_date,a_fighter_name,b_fighter_name,a_prior_fights,b_prior_fights,a_prior_win_rate,b_prior_win_rate,predicted_side,predicted_winner,actual_winner,predicted_correct,chosen_odds,edge,bet_placed,profit_units
c06d7bb29bc24d00,2021-03-06,Islam Makhachev,Drew Dober,16,28,0.875,0.6429,a,Islam Makhachev,Islam Makhachev,1,1.2174,0.0536,1,0.2174
c06d7bb29bc24d00,2021-03-06,Drew Dober,Islam Makhachev,29,17,0.6207,0.8824,b,Islam Makhachev,Islam Makhachev,1,4.65,0.6673,1,3.65
c096342c57a6f2c4,2021-03-06,Trevin Jones,Mario Bautista,1,7,1.0,0.5714,a,Trevin Jones,Trevin Jones,1,1.4167,0.2941,1,0.4167
f4363f1317b47213,2021-03-06,Dominick Cruz,Casey Kenney,14,12,0.7143,0.8333,b,Casey Kenney,Dominick Cruz,0,1.7143,0.25,1,-1.0
f4363f1317b47213,2021-03-06,Casey Kenney,Dominick Cruz,13,15,0.7692,0.7333,a,Casey Kenney,Dominick Cruz,0,2.2,0.3147,1,-1.0
fd92fe0c494d0959,2021-03-06,Amanda Nunes,Megan Anderson,28,10,0.9286,0.6,a,Amanda Nunes,Amanda Nunes,1,1.1429,0.0536,1,0.1429
fd92fe0c494d0959,2021-03-06,Megan Anderson,Amanda Nunes,11,29,0.5455,0.931,b,Amanda Nunes,Amanda Nunes,1,6.0,0.7644,1,5.0
01f262b68a6a2223,2021-03-13,Manel Kape,Matheus Nicolau,2,8,0.0,0.75,b,Matheus Nicolau,Matheus Nicolau,1,1.7692,0.1848,1,0.7692
01f262b68a6a2223,2021-03-13,Matheus Nicolau,Manel Kape,9,3,0.7778,0.0,a,Matheus Nicolau,Matheus Nicolau,1,2.1,0.3016,1,1.1
03bdbf2d18f3025d,2021-03-13,Rani Yahya,Ray Rodriguez,30,2,0.7333,0.0,a,Rani Yahya,Rani Yahya,1,3.3,0.4303,1,2.3
03bdbf2d18f3025d,2021-03-13,Ray Rodriguez,Rani Yahya,3,31,0.0,0.7419,b,Rani Yahya,Rani Yahya,1,1.3704,0.0122,0,0.0
18c67631b76c18e5,2021-03-13,Angela Hill,Ashley Yoder,32,16,0.4375,0.375,a,Angela Hill,Angela Hill,1,3.7,0.1672,1,2.7
18c67631b76c18e5,2021-03-13,Ashley Yoder,Angela Hill,17,33,0.3529,0.4545,b,Angela Hill,Angela Hill,1,1.303,-0.3129,0,0.0
4944437e73071671,2021-03-13,Misha Cirkunov,Ryan Spann,18,10,0.6667,0.8,b,Ryan Spann,Ryan Spann,1,2.05,0.3122,1,1.05
4944437e73071671,2021-03-13,Ryan Spann,Misha Cirkunov,11,19,0.8182,0.6316,a,Ryan Spann,Ryan Spann,1,1.8,0.2626,1,0.8
70aa6b8f863e6861,2021-03-13,Jonathan Martinez,Davey Grant,12,12,0.6667,0.5,a,Jonathan Martinez,Davey Grant,0,3.5,0.381,1,-1.0
70aa6b8f863e6861,2021-03-13,Davey Grant,Jonathan Martinez,13,13,0.5385,0.6154,b,Jonathan Martinez,Davey Grant,0,1.3333,-0.1346,0,0.0
d0ebb0551377a1c1,2021-03-13,Matthew Semelsberger,Jason Witt,2,4,1.0,0.5,a,Matthew Semelsberger,Matthew Semelsberger,1,1.7692,0.4348,1,0.7692
